Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Price_Range,Modal_Position,Year,Month,Week_Of_Year,Day_Of_Week,Quarter,Lag_1,Lag_2,Lag_3,Lag_5,Lag_7,Lag_14,Lag_30,Rolling_Mean_3,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_Std_7,Rolling_Std_14,Price_Change_1,Price_Change_3,Price_Change_7,Price_Change_14,Price_Change_Pct_1,Price_Change_Pct_7,Price_Change_Pct_14,Target_Date,Future_Modal_Price,Target_Price,Actual_Future_Change_Pct
2004-01-01,Cotton,15,Akola,FAQ,Akot,2675,2500,2580.0,Maharashtra,Other,175,0.45714285714285713,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-01,Cotton,15,Amarawati,FAQ,Amarawati,2550,2500,2525.0,Maharashtra,Other,50,0.5,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,2560.0,2560.0,1.3861386138613863
2004-01-01,Cotton,15,Jalana,FAQ,Jalana,2800,2315,2551.0,Maharashtra,Other,485,0.4865979381443299,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-01,Cotton,15,Akola,FAQ,Murtizapur,2570,2530,2550.0,Maharashtra,Other,40,0.5,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-02,Cotton,15,Parbhani,FAQ,Jintur,2515,2400,2400.0,Maharashtra,Other,115,0.0,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-16,,,
2004-01-02,Cotton,15,Parbhani,FAQ,Parbhani,2600,2450,2575.0,Maharashtra,Other,150,0.8333333333333334,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-16,,,
2004-01-02,Cotton,15,Nagpur,FAQ,Savner,2632,2565,2598.0,Maharashtra,Other,67,0.4925373134328358,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-16,,,
2004-01-03,Cotton,15,Akola,FAQ,Akot,2641,2275,2490.0,Maharashtra,LRA,366,0.587431693989071,2004,1,1,5,1,,,,,,,,,,,,,,,,,,,,,2004-01-17,,,
2004-01-03,Cotton,15,Akola,FAQ,Akot,2690,2450,2600.0,Maharashtra,Other,240,0.625,2004,1,1,5,1,2580.0,,,,,,,,,,,,,20.0,,,,0.7751937984496124,,,2004-01-17,2650.0,2650.0,1.9230769230769231
2004-01-03,Cotton,15,Amarawati,FAQ,Amarawati,2525,2450,2475.0,Maharashtra,Other,75,0.3333333333333333,2004,1,1,5,1,2525.0,,,,,,,,,,,,,-50.0,,,,-1.9801980198019802,,,2004-01-17,,,
2004-01-03,Cotton,15,Nanded,FAQ,Bhokar,2450,2450,2450.0,Maharashtra,Other,0,,2004,1,1,5,1,,,,,,,,,,,,,,,,,,,,,2004-01-17,,,
2004-01-03,Cotton,15,Jalgaon,FAQ,Pachora,2500,2500,2500.0,Maharashtra,Other,0,,2004,1,1,5,1,,,,,,,,,,,,,,,,,,,,,2004-01-17,,,
2004-01-05,Cotton,15,Akola,FAQ,Akot,2601,2275,2500.0,Maharashtra,LRA,326,0.6901840490797546,2004,1,2,0,1,2490.0,,,,,,,,,,,,,10.0,,,,0.4016064257028112,,,2004-01-19,,,
2004-01-05,Cotton,15,Yavatmal,FAQ,Vani,2685,2451,2568.0,Maharashtra,Other,234,0.5,2004,1,2,0,1,,,,,,,,,,,,,,,,,,,,,2004-01-19,,,
2004-01-06,Cotton,15,Akola,FAQ,Akot,2551,2350,2485.0,Maharashtra,LRA,201,0.6716417910447762,2004,1,2,1,1,2500.0,2490.0,,,,,,2495.0,,,,,,-15.0,,,,-0.6,,,2004-01-20,2675.0,2675.0,7.645875251509055
2004-01-06,Cotton,15,Nanded,FAQ,Bhokar,2400,2400,2400.0,Maharashtra,Other,0,,2004,1,2,1,1,2450.0,,,,,,,,,,,,,-50.0,,,,-2.0408163265306123,,,2004-01-20,,,
2004-01-06,Cotton,15,Parbhani,FAQ,Parbhani,2700,2600,2650.0,Maharashtra,Other,100,0.5,2004,1,2,1,1,2575.0,,,,,,,,,,,,,75.0,,,,2.912621359223301,,,2004-01-20,,,
2004-01-07,Cotton,15,Vashim,FAQ,Karanja,2635,2525,2585.0,Maharashtra,N-44,110,0.5454545454545454,2004,1,2,2,1,,,,,,,,,,,,,,,,,,,,,2004-01-21,,,
2004-01-08,Cotton,15,Nagpur,FAQ,Savner,2699,2619,2659.0,Maharashtra,Other,80,0.5,2004,1,2,3,1,2598.0,,,,,,,,,,,,,61.0,,,,2.3479599692070825,,,2004-01-22,,,
