Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Price_Range,Modal_Position,Year,Month,Week_Of_Year,Day_Of_Week,Quarter,Lag_1,Lag_2,Lag_3,Lag_5,Lag_7,Lag_14,Lag_30,Rolling_Mean_3,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_Std_7,Rolling_Std_14,Price_Change_1,Price_Change_3,Price_Change_7,Price_Change_14,Price_Change_Pct_1,Price_Change_Pct_7,Price_Change_Pct_14,Target_Date,Future_Modal_Price,Target_Price,Actual_Future_Change_Pct
2004-01-01,Onion,23,Ahmednagar,FAQ,Ahmednagar,990,400,695.0,Maharashtra,Other,590,0.5,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-06,,,
2004-01-01,Onion,23,Jalgaon,FAQ,Jalgaon,900,300,550.0,Maharashtra,Red,600,0.4166666666666667,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-06,,,
2004-01-01,Onion,23,Nashik,FAQ,Malegaon,842,401,750.0,Maharashtra,Red,441,0.7913832199546486,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-06,,,
2004-01-01,Onion,23,Nashik,FAQ,Nasik,1111,461,850.0,Maharashtra,Other,650,0.5984615384615385,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-06,750.0,750.0,-11.76470588235294
2004-01-01,Onion,23,Nashik,FAQ,Pimpalgaon,900,660,821.0,Maharashtra,Red,240,0.6708333333333333,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-06,,,
2004-01-02,Onion,23,Nashik,FAQ,Chandvad,751,351,700.0,Maharashtra,Other,400,0.8725,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-07,,,
2004-01-02,Onion,23,Nashik,FAQ,Pimpalgaon,839,490,741.0,Maharashtra,Red,349,0.7191977077363897,2004,1,1,4,1,821.0,,,,,,,,,,,,,-80.0,,,,-9.744214372716199,,,2004-01-07,,,
2004-01-02,Onion,23,Sangli,FAQ,Sangli,950,200,575.0,Maharashtra,Other,750,0.5,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-07,,,
2004-01-03,Onion,23,Ahmednagar,FAQ,Ahmednagar,925,310,615.0,Maharashtra,Other,615,0.4959349593495935,2004,1,1,5,1,695.0,,,,,,,,,,,,,-80.0,,,,-11.510791366906476,,,2004-01-08,,,
2004-01-05,Onion,23,Nashik,FAQ,Malegaon,841,211,735.0,Maharashtra,Red,630,0.8317460317460318,2004,1,2,0,1,750.0,,,,,,,,,,,,,-15.0,,,,-2.0,,,2004-01-10,,,
