Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Price_Range,Modal_Position,Year,Month,Week_Of_Year,Day_Of_Week,Quarter,Lag_1,Lag_2,Lag_3,Lag_5,Lag_7,Lag_14,Lag_30,Rolling_Mean_3,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_Std_7,Rolling_Std_14,Price_Change_1,Price_Change_3,Price_Change_7,Price_Change_14,Price_Change_Pct_1,Price_Change_Pct_7,Price_Change_Pct_14,Target_Date,Future_Modal_Price,Target_Price,Actual_Future_Change_Pct
2004-01-01,Rice,3,Kolhapur,FAQ,Kolhapur,3000,1400,2200,Maharashtra,Other,1600,0.5,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-01,Rice,3,Nagpur,FAQ,Nagpur,1200,1050,1175,Maharashtra,1009 Kar,150,0.8333333333333334,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-01,Rice,3,Nagpur,FAQ,Nagpur,900,800,850,Maharashtra,Other,100,0.5,2004,1,1,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-15,,,
2004-01-02,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other,950,0.42105263157894735,2004,1,1,4,1,,,,,,,,,,,,,,,,,,,,,2004-01-16,,,
2004-01-05,Rice,3,Pune,FAQ,Pune,2200,2000,2100,Maharashtra,1009 Kar,200,0.5,2004,1,2,0,1,,,,,,,,,,,,,,,,,,,,,2004-01-19,1637.0,1637.0,-22.047619047619047
2004-01-07,Rice,3,Nagpur,FAQ,Nagpur,1200,1050,1175,Maharashtra,1009 Kar,150,0.8333333333333334,2004,1,2,2,1,1175.0,,,,,,,,,,,,,0.0,,,,0.0,,,2004-01-21,,,
2004-01-07,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other,950,0.42105263157894735,2004,1,2,2,1,1200.0,,,,,,,,,,,,,0.0,,,,0.0,,,2004-01-21,,,
2004-01-08,Rice,3,Amarawati,FAQ,Achalpur,1250,870,1060,Maharashtra,1009 Kar,380,0.5,2004,1,2,3,1,,,,,,,,,,,,,,,,,,,,,2004-01-22,,,
2004-01-08,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other,950,0.42105263157894735,2004,1,2,3,1,1200.0,1200.0,,,,,,1200.0,,,,,,0.0,,,,0.0,,,2004-01-22,,,
2004-01-09,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1050,2525,Maharashtra,Other,2950,0.5,2004,1,2,4,1,2200.0,,,,,,,,,,,,,325.0,,,,14.772727272727273,,,2004-01-23,2700.0,2700.0,6.9306930693069315
2004-01-10,Rice,3,Pune,FAQ,Pune,2000,1825,1907,Maharashtra,1009 Kar,175,0.4685714285714286,2004,1,2,5,1,2100.0,,,,,,,,,,,,,-193.0,,,,-9.19047619047619,,,2004-01-24,,,
2004-01-10,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other,950,0.42105263157894735,2004,1,2,5,1,1200.0,1200.0,1200.0,,,,,1200.0,1200.0,,,0.0,,0.0,0.0,,,0.0,,,2004-01-24,1200.0,1200.0,0.0
2004-01-11,Rice,3,Gondiya,FAQ,Arjuni,900,800,850,Maharashtra,1009 Kar,100,0.5,2004,1,2,6,1,,,,,,,,,,,,,,,,,,,,,2004-01-25,,,
2004-01-12,Rice,3,Gondiya,FAQ,Arjuni,900,800,850,Maharashtra,1009 Kar,100,0.5,2004,1,3,0,1,850.0,,,,,,,,,,,,,0.0,,,,0.0,,,2004-01-26,,,
2004-01-13,Rice,3,Gondiya,FAQ,Arjuni,900,800,850,Maharashtra,1009 Kar,100,0.5,2004,1,3,1,1,850.0,850.0,,,,,,850.0,,,,,,0.0,,,,0.0,,,2004-01-27,,,
2004-01-13,Rice,3,Pune,FAQ,Pune,1750,1600,1675,Maharashtra,1009 Kar,150,0.5,2004,1,3,1,1,1907.0,2100.0,,,,,,2003.5,,,,,,-232.0,,,,-12.165705296276874,,,2004-01-27,,,
2004-01-13,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other,950,0.42105263157894735,2004,1,3,1,1,1200.0,1200.0,1200.0,,,,,1200.0,1200.0,,,0.0,,0.0,0.0,,,0.0,,,2004-01-27,,,
2004-01-15,Rice,3,Pune,FAQ,Pune,1950,1700,1825,Maharashtra,1009 Kar,250,0.5,2004,1,3,3,1,1675.0,1907.0,2100.0,,,,,1894.0,1894.0,,,212.7980263066366,,150.0,-275.0,,,8.955223880597014,,,2004-01-29,1775.0,1775.0,-2.73972602739726
2004-01-17,Rice,3,Nagpur,FAQ,Nagpur,900,800,850,Maharashtra,Other,100,0.5,2004,1,3,5,1,850.0,,,,,,,,,,,,,0.0,,,,0.0,,,2004-01-31,,,
2004-01-18,Rice,3,Gondiya,FAQ,Arjuni,900,800,850,Maharashtra,1009 Kar,100,0.5,2004,1,3,6,1,850.0,850.0,850.0,,,,,850.0,850.0,,,0.0,,0.0,0.0,,,0.0,,,2004-02-01,,,
2004-01-19,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other,2600,0.5,2004,1,4,0,1,2525.0,2200.0,,,,,,2362.5,,,,,,175.0,,,,6.9306930693069315,,,2004-02-02,,,
2004-01-19,Rice,3,Nagpur,FAQ,Nagpur,1200,1050,1175,Maharashtra,1009 Kar,150,0.8333333333333334,2004,1,4,0,1,1175.0,1175.0,,,,,,1175.0,,,,,,0.0,,,,0.0,,,2004-02-02,,,
