Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Price_Range,Modal_Position,Year,Month,Week_Of_Year,Day_Of_Week,Quarter,Lag_1,Lag_2,Lag_3,Lag_5,Lag_7,Lag_14,Lag_30,Rolling_Mean_3,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30,Rolling_Std_7,Rolling_Std_14,Price_Change_1,Price_Change_3,Price_Change_7,Price_Change_14,Price_Change_Pct_1,Price_Change_Pct_7,Price_Change_Pct_14,Target_Date,Future_Modal_Price,Target_Price,Actual_Future_Change_Pct
2006-07-04,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other,75,0.3333333333333333,2006,7,27,1,3,,,,,,,,,,,,,,,,,,,,,2006-07-06,225.0,225.0,0.0
2006-07-05,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other,75,0.3333333333333333,2006,7,27,2,3,225.0,,,,,,,,,,,,,0.0,,,,0.0,,,2006-07-07,,,
2006-07-06,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other,75,0.3333333333333333,2006,7,27,3,3,225.0,225.0,,,,,,225.0,,,,,,0.0,,,,0.0,,,2006-07-08,,,
2006-12-05,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,49,1,4,225.0,225.0,225.0,,,,,225.0,225.0,,,0.0,,75.0,75.0,,,33.33333333333333,,,2006-12-07,300.0,300.0,0.0
2006-12-06,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,49,2,4,300.0,225.0,225.0,,,,,250.0,243.75,,,37.5,,0.0,75.0,,,0.0,,,2006-12-08,300.0,300.0,0.0
2006-12-07,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,49,3,4,300.0,300.0,225.0,225.0,,,,275.0,255.0,255.0,,41.07919181288746,41.07919181288746,0.0,75.0,,,0.0,,,2006-12-09,,,
2006-12-08,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,49,4,4,300.0,300.0,300.0,225.0,,,,300.0,262.5,262.5,,41.07919181288746,41.07919181288746,0.0,0.0,,,0.0,,,2006-12-10,,,
2006-12-11,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,50,0,4,300.0,300.0,300.0,225.0,225.0,,,300.0,267.85714285714283,267.85714285714283,,40.08918628686366,40.08918628686366,0.0,0.0,75.0,,0.0,33.33333333333333,,2006-12-13,300.0,300.0,0.0
2006-12-12,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,50,1,4,300.0,300.0,300.0,300.0,225.0,,,300.0,278.57142857142856,271.875,,36.59625273557,38.81618771300742,0.0,0.0,75.0,,0.0,33.33333333333333,,2006-12-14,300.0,300.0,0.0
2006-12-13,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other,75,0.6666666666666666,2006,12,50,2,4,300.0,300.0,300.0,300.0,225.0,,,300.0,289.2857142857143,275.0,,28.347335475692052,37.5,0.0,0.0,75.0,,0.0,33.33333333333333,,2006-12-15,,,
