Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2004-01-01,Cotton,15,Amarawati,FAQ,Amarawati,2550,2500,2525,Maharashtra,Other
2004-01-01,Cotton,15,Akola,FAQ,Akot,2675,2500,2580,Maharashtra,Other
2004-01-01,Cotton,15,Akola,FAQ,Murtizapur,2570,2530,2550,Maharashtra,Other
2004-01-01,Cotton,15,Jalana,FAQ,Jalana,2800,2315,2551,Maharashtra,Other
2004-01-02,Cotton,15,Nagpur,FAQ,Savner,2632,2565,2598,Maharashtra,Other
2004-01-02,Cotton,15,Parbhani,FAQ,Parbhani,2600,2450,2575,Maharashtra,Other
2004-01-02,Cotton,15,Parbhani,FAQ,Jintur,2515,2400,2400,Maharashtra,Other
2004-01-03,Cotton,15,Amarawati,FAQ,Amarawati,2525,2450,2475,Maharashtra,Other
2004-01-03,Cotton,15,Akola,FAQ,Akot,2641,2275,2490,Maharashtra,LRA
2004-01-03,Cotton,15,Nanded,FAQ,Bhokar,2450,2450,2450,Maharashtra,Other
2004-01-03,Cotton,15,Akola,FAQ,Akot,2690,2450,2600,Maharashtra,Other
2004-01-03,Cotton,15,Jalgaon,FAQ,Pachora,2500,2500,2500,Maharashtra,Other
2004-01-05,Cotton,15,Akola,FAQ,Akot,2601,2275,2500,Maharashtra,LRA
2004-01-05,Cotton,15,Yavatmal,FAQ,Vani,2685,2451,2568,Maharashtra,Other
2004-01-06,Cotton,15,Nanded,FAQ,Bhokar,2400,2400,2400,Maharashtra,Other
2004-01-06,Cotton,15,Akola,FAQ,Akot,2551,2350,2485,Maharashtra,LRA
2004-01-06,Cotton,15,Parbhani,FAQ,Parbhani,2700,2600,2650,Maharashtra,Other
2004-01-07,Cotton,15,Vashim,FAQ,Karanja,2635,2525,2585,Maharashtra,N-44
2004-01-08,Cotton,15,Nagpur,FAQ,Savner,2699,2619,2659,Maharashtra,Other
2004-01-09,Cotton,15,Parbhani,FAQ,Parbhani,2700,2500,2600,Maharashtra,Other
2004-01-09,Cotton,15,Vashim,FAQ,Karanja,2675,2415,2575,Maharashtra,N-44
2004-01-09,Cotton,15,Jalgaon,FAQ,Chalisgaon,2550,2250,2400,Maharashtra,Other
2004-01-10,Cotton,15,Akola,FAQ,Murtizapur,2635,2600,2611,Maharashtra,Other
2004-01-10,Cotton,15,Jalgaon,FAQ,Pachora,2511,2300,2406,Maharashtra,H-4(A) 27mm FIne
2004-01-12,Cotton,15,Amarawati,FAQ,Amarawati,2525,2450,2490,Maharashtra,Other
2004-01-12,Cotton,15,Yavatmal,FAQ,Vani,2680,2400,2540,Maharashtra,Other
2004-01-12,Cotton,15,Jalgaon,FAQ,Pachora,2550,2050,2300,Maharashtra,H-4(A) 27mm FIne
2004-01-13,Cotton,15,Akola,FAQ,Murtizapur,2645,2600,2625,Maharashtra,Other
2004-01-13,Cotton,15,Chandrapur,FAQ,Chandrapur,2636,2400,2500,Maharashtra,Other
2004-01-13,Cotton,15,Parbhani,FAQ,Parbhani,2700,2500,2600,Maharashtra,Other
2004-01-14,Cotton,15,Jalgaon,FAQ,Chalisgaon,2575,2350,2400,Maharashtra,Other
2004-01-14,Cotton,15,Buldhana,FAQ,Khamgaon,2665,2450,2557,Maharashtra,H-4(A) 27mm FIne
2004-01-15,Cotton,15,Amarawati,FAQ,Amarawati,2600,2490,2560,Maharashtra,Other
2004-01-16,Cotton,15,Buldhana,FAQ,Khamgaon,2676,2600,2625,Maharashtra,Other
2004-01-16,Cotton,15,Akola,FAQ,Akot,2727,2394,2625,Maharashtra,LRA
2004-01-16,Cotton,15,Akola,FAQ,Akot,2732,2471,2675,Maharashtra,Other
2004-01-17,Cotton,15,Akola,FAQ,Akot,2731,2550,2650,Maharashtra,Other
2004-01-17,Cotton,15,Vashim,FAQ,Karanja,2725,2525,2655,Maharashtra,N-44
2004-01-19,Cotton,15,Parbhani,FAQ,Parbhani,3000,2700,2800,Maharashtra,Other
2004-01-19,Cotton,15,Nanded,FAQ,Bhokar,2700,2400,2475,Maharashtra,Other
2004-01-19,Cotton,15,Nanded,FAQ,Nanded,2500,2100,2300,Maharashtra,Other
2004-01-20,Cotton,15,Buldhana,FAQ,Khamgaon,2825,2600,2712,Maharashtra,H-4(A) 27mm FIne
2004-01-20,Cotton,15,Akola,FAQ,Akot,2793,2500,2675,Maharashtra,LRA
2004-01-20,Cotton,15,Amarawati,FAQ,Amarawati,2750,2600,2675,Maharashtra,Other
2004-01-20,Cotton,15,Yavatmal,FAQ,Vani,2865,2450,2657,Maharashtra,Other
2004-01-21,Cotton,15,Buldhana,FAQ,Khamgaon,2721,2641,2681,Maharashtra,Other
2004-01-22,Cotton,15,Buldhana,FAQ,Khamgaon,2750,2680,2715,Maharashtra,Other
2004-01-22,Cotton,15,Jalana,FAQ,Jalana,3030,2450,2800,Maharashtra,Other
2004-01-22,Cotton,15,Chandrapur,FAQ,Chandrapur,2601,2401,2551,Maharashtra,Other
2004-01-22,Cotton,15,Jalgaon,FAQ,Pachora,2950,2550,2750,Maharashtra,H-4(A) 27mm FIne
2004-01-23,Cotton,15,Akola,FAQ,Murtizapur,2725,2625,2685,Maharashtra,Other
2004-01-23,Cotton,15,Dhule,FAQ,Dhule,2941,2000,2829,Maharashtra,Other
2004-01-23,Cotton,15,Jalana,FAQ,Jalana,3102,2501,2851,Maharashtra,Other
2004-01-23,Cotton,15,Akola,FAQ,Akot,2735,2475,2670,Maharashtra,Other
2004-01-23,Cotton,15,Nanded,FAQ,Bhokar,2550,2550,2550,Maharashtra,Other
2004-01-24,Cotton,15,Jalgaon,FAQ,Pachora,3000,2600,2800,Maharashtra,H-4(A) 27mm FIne
