Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2004-01-01,Onion,23,Jalgaon,FAQ,Jalgaon,900,300,550,Maharashtra,Red
2004-01-01,Onion,23,Ahmednagar,FAQ,Ahmednagar,990,400,695,Maharashtra,Other
2004-01-01,Onion,23,Nashik,FAQ,Nasik,1111,461,850,Maharashtra,Other
2004-01-01,Onion,23,Nashik,FAQ,Pimpalgaon,900,660,821,Maharashtra,Red
2004-01-01,Onion,23,Nashik,FAQ,Malegaon,842,401,750,Maharashtra,Red
2004-01-02,Onion,23,Sangli,FAQ,Sangli,950,200,575,Maharashtra,Other
2004-01-02,Onion,23,Nashik,FAQ,Chandvad,751,351,700,Maharashtra,Other
2004-01-02,Onion,23,Nashik,FAQ,Pimpalgaon,839,490,741,Maharashtra,Red
2004-01-03,Onion,23,Ahmednagar,FAQ,Ahmednagar,925,310,615,Maharashtra,Other
2004-01-05,Onion,23,Nashik,FAQ,Malegaon,841,211,735,Maharashtra,Red
2004-01-05,Onion,23,Pune,FAQ,Pune,850,400,620,Maharashtra,Other
2004-01-05,Onion,23,Nashik,FAQ,Nasik,951,531,800,Maharashtra,Other
2004-01-06,Onion,23,Sholapur,FAQ,Pandharpur,870,295,700,Maharashtra,Other
2004-01-06,Onion,23,Sangli,FAQ,Sangli,950,200,575,Maharashtra,Other
2004-01-06,Onion,23,Nashik,FAQ,Nasik,850,500,750,Maharashtra,Other
2004-01-07,Onion,23,Kolhapur,FAQ,Kolhapur,1050,250,550,Maharashtra,Other
2004-01-07,Onion,23,Dhule,FAQ,Dhule,955,250,820,Maharashtra,Red
2004-01-07,Onion,23,Nashik,FAQ,Malegaon,1001,311,875,Maharashtra,Red
2004-01-07,Onion,23,Pune,FAQ,Pune,950,400,670,Maharashtra,Other
2004-01-07,Onion,23,Nashik,FAQ,Yeola,845,400,800,Maharashtra,Red
2004-01-08,Onion,23,Pune,FAQ,Pune,1000,500,750,Maharashtra,Other
2004-01-08,Onion,23,Nashik,FAQ,Nasik,1100,521,800,Maharashtra,Other
2004-01-08,Onion,23,Nashik,FAQ,Chandvad,905,400,875,Maharashtra,Other
2004-01-09,Onion,23,Jalgaon,FAQ,Jalgaon,1000,250,550,Maharashtra,Red
2004-01-09,Onion,23,Pune,FAQ,Pune,1000,500,750,Maharashtra,Other
2004-01-09,Onion,23,Nashik,FAQ,Lasalgaon,971,501,930,Maharashtra,Red
2004-01-09,Onion,23,Nashik,FAQ,Pimpalgaon,1179,650,901,Maharashtra,Red
2004-01-10,Onion,23,Nagpur,FAQ,Nagpur,950,900,925,Maharashtra,Red
2004-01-10,Onion,23,Nashik,FAQ,Nasik,925,501,800,Maharashtra,Other
2004-01-10,Onion,23,Sholapur,FAQ,Pandharpur,830,395,740,Maharashtra,Other
2004-01-11,Onion,23,Pune,FAQ,Khed,980,500,800,Maharashtra,Other
2004-01-11,Onion,23,Pune,FAQ,Pune,1050,500,770,Maharashtra,Other
2004-01-12,Onion,23,Dhule,FAQ,Dhule,770,250,700,Maharashtra,Other
2004-01-12,Onion,23,Mumbai,FAQ,Mumbai,1100,800,950,Maharashtra,Other
2004-01-12,Onion,23,Ahmednagar,FAQ,Ahmednagar,1025,374,700,Maharashtra,Other
2004-01-12,Onion,23,Nagpur,FAQ,Nagpur,825,750,780,Maharashtra,Other
2004-01-12,Onion,23,Satara,FAQ,Lonand,1001,500,900,Maharashtra,Other
2004-01-12,Onion,23,Pune,FAQ,Pune,1050,500,770,Maharashtra,Other
2004-01-12,Onion,23,Nashik,FAQ,Malegaon,1051,300,865,Maharashtra,Red
2004-01-13,Onion,23,Nashik,FAQ,Chandvad,955,400,911,Maharashtra,Other
2004-01-13,Onion,23,Nagpur,FAQ,Nagpur,950,900,925,Maharashtra,Red
2004-01-13,Onion,23,Nashik,FAQ,Lasalgaon,988,651,951,Maharashtra,Red
2004-01-13,Onion,23,Jalgaon,FAQ,Jalgaon,900,300,500,Maharashtra,Red
2004-01-14,Onion,23,Mumbai,FAQ,Mumbai,1000,700,850,Maharashtra,Other
2004-01-14,Onion,23,Nashik,FAQ,Chandvad,951,400,900,Maharashtra,Other
2004-01-14,Onion,23,Nagpur,FAQ,Nagpur,950,900,925,Maharashtra,Red
2004-01-14,Onion,23,Nashik,FAQ,Manmad,939,471,860,Maharashtra,Other
2004-01-14,Onion,23,Kolhapur,FAQ,Kolhapur,950,300,500,Maharashtra,Other
2004-01-14,Onion,23,Nagpur,FAQ,Nagpur,800,750,775,Maharashtra,Other
2004-01-15,Onion,23,Nashik,FAQ,Nasik,1001,441,850,Maharashtra,Other
2004-01-15,Onion,23,Satara,FAQ,Lonand,980,650,880,Maharashtra,Other
2004-01-16,Onion,23,Sholapur,FAQ,Pandharpur,851,380,700,Maharashtra,Other
2004-01-17,Onion,23,Sholapur,FAQ,Pandharpur,825,440,740,Maharashtra,Other
2004-01-17,Onion,23,Ahmednagar,FAQ,Ahmednagar,970,330,650,Maharashtra,Other
2004-01-17,Onion,23,Mumbai,FAQ,Mumbai,1050,800,925,Maharashtra,Other
2004-01-19,Onion,23,Dhule,FAQ,Dhule,750,250,650,Maharashtra,Other
2004-01-19,Onion,23,Kolhapur,FAQ,Kolhapur,1000,300,550,Maharashtra,Other
2004-01-20,Onion,23,Nashik,FAQ,Manmad,900,460,850,Maharashtra,Other
2004-01-20,Onion,23,Kolhapur,FAQ,Kolhapur,1000,300,550,Maharashtra,Other
2004-01-20,Onion,23,Dhule,FAQ,Dhule,760,200,650,Maharashtra,Other
2004-01-21,Onion,23,Dhule,FAQ,Dhule,715,200,640,Maharashtra,Other
2004-01-21,Onion,23,Pune,FAQ,Khed,900,500,750,Maharashtra,Other
2004-01-21,Onion,23,Mumbai,FAQ,Mumbai,980,880,930,Maharashtra,Other
2004-01-21,Onion,23,Chandrapur,FAQ,Chandrapur,850,650,750,Maharashtra,Other
2004-01-22,Onion,23,Mumbai,FAQ,Mumbai,900,700,800,Maharashtra,Other
2004-01-22,Onion,23,Ahmednagar,FAQ,Ahmednagar,910,300,605,Maharashtra,Other
2004-01-22,Onion,23,Nagpur,FAQ,Nagpur,750,725,740,Maharashtra,Other
2004-01-24,Onion,23,Jalgaon,FAQ,Jalgaon,960,400,600,Maharashtra,Red
2004-01-25,Onion,23,Pune,FAQ,Khed,880,600,750,Maharashtra,Other
2004-01-27,Onion,23,Nashik,FAQ,Nasik,1000,425,825,Maharashtra,Other
2004-01-27,Onion,23,Nashik,FAQ,Pimpalgaon,775,635,725,Maharashtra,Other
2004-01-27,Onion,23,Nashik,FAQ,Lasalgaon,771,361,731,Maharashtra,Red
2004-01-28,Onion,23,Nagpur,FAQ,Nagpur,850,750,800,Maharashtra,Red
2004-01-28,Onion,23,Dhule,FAQ,Dhule,565,200,500,Maharashtra,Other
2004-01-28,Onion,23,Chandrapur,FAQ,Chandrapur,850,650,750,Maharashtra,Other
2004-01-29,Onion,23,Ahmednagar,FAQ,Ahmednagar,800,280,540,Maharashtra,Other
2004-01-29,Onion,23,Kolhapur,FAQ,Kolhapur,900,300,500,Maharashtra,Other
2004-01-29,Onion,23,Jalgaon,FAQ,Jalgaon,700,300,425,Maharashtra,Red
2004-01-30,Onion,23,Nashik,FAQ,Manmad,710,580,610,Maharashtra,Red
2004-01-30,Onion,23,Sholapur,FAQ,Pandharpur,800,300,700,Maharashtra,Other
2004-01-31,Onion,23,Ahmednagar,FAQ,Ahmednagar,850,250,550,Maharashtra,Other
2004-02-03,Onion,23,Jalgaon,FAQ,Jalgaon,800,300,500,Maharashtra,Red
2004-02-03,Onion,23,Nashik,FAQ,Pimpalgaon,896,677,835,Maharashtra,Other
2004-02-04,Onion,23,Dhule,FAQ,Dhule,565,150,500,Maharashtra,Other
2004-02-04,Onion,23,Nashik,FAQ,Manmad,880,450,835,Maharashtra,Red
2004-02-04,Onion,23,Dhule,FAQ,Dhule,860,150,700,Maharashtra,Red
2004-02-04,Onion,23,Pune,FAQ,Khed,1000,500,750,Maharashtra,Other
2004-02-04,Onion,23,Kolhapur,FAQ,Kolhapur,875,200,400,Maharashtra,Other
2004-02-04,Onion,23,Nashik,FAQ,Nasik,950,500,800,Maharashtra,Other
2004-02-04,Onion,23,Ahmednagar,FAQ,Sangamner,1000,400,700,Maharashtra,Other
2004-02-05,Onion,23,Nashik,FAQ,Pimpalgaon,889,672,835,Maharashtra,Other
2004-02-05,Onion,23,Nashik,FAQ,Malegaon,855,211,810,Maharashtra,Red
2004-02-05,Onion,23,Nashik,FAQ,Nasik,925,451,825,Maharashtra,Other
2004-02-05,Onion,23,Mumbai,FAQ,Mumbai,1050,800,925,Maharashtra,Other
2004-02-06,Onion,23,Chandrapur,FAQ,Chandrapur,725,550,600,Maharashtra,Other
2004-02-07,Onion,23,Kolhapur,FAQ,Kolhapur,1000,300,500,Maharashtra,Other
2004-02-07,Onion,23,Chandrapur,FAQ,Chandrapur,700,550,625,Maharashtra,Other
2004-02-09,Onion,23,Kolhapur,FAQ,Kolhapur,950,300,450,Maharashtra,Other
2004-02-09,Onion,23,Nashik,FAQ,Yeola,808,400,780,Maharashtra,Red
2004-02-09,Onion,23,Ahmednagar,FAQ,Ahmednagar,1050,350,700,Maharashtra,Other
2004-02-10,Onion,23,Kolhapur,FAQ,Kolhapur,900,400,500,Maharashtra,Other
2004-02-10,Onion,23,Nagpur,FAQ,Nagpur,950,925,937,Maharashtra,Red
2004-02-11,Onion,23,Sholapur,FAQ,Pandharpur,851,360,800,Maharashtra,Other
2004-02-11,Onion,23,Ahmednagar,FAQ,Sangamner,1051,400,725,Maharashtra,Other
2004-02-12,Onion,23,Nashik,FAQ,Yeola,787,400,675,Maharashtra,Red
2004-02-12,Onion,23,Dhule,FAQ,Dhule,795,200,700,Maharashtra,Red
2004-02-12,Onion,23,Nagpur,FAQ,Nagpur,900,850,875,Maharashtra,Red
2004-02-13,Onion,23,Kolhapur,FAQ,Kolhapur,800,300,400,Maharashtra,Other
2004-02-13,Onion,23,Dhule,FAQ,Dhule,595,200,595,Maharashtra,Other
2004-02-15,Onion,23,Pune,FAQ,Khed,800,450,650,Maharashtra,Other
2004-02-16,Onion,23,Ahmednagar,FAQ,Ahmednagar,700,200,450,Maharashtra,Other
2004-02-16,Onion,23,Sholapur,FAQ,Pandharpur,800,460,700,Maharashtra,Other
2004-02-16,Onion,23,Sangli,FAQ,Sangli,800,200,500,Maharashtra,Other
2004-02-17,Onion,23,Kolhapur,FAQ,Kolhapur,700,300,400,Maharashtra,Other
2004-02-17,Onion,23,Chattrapati Sambhajinagar,FAQ,Chattrapati Sambhajinagar,550,300,350,Maharashtra,Other
2004-02-17,Onion,23,Sangli,FAQ,Sangli,675,200,435,Maharashtra,Other
2004-02-18,Onion,23,Pune,FAQ,Khed,800,500,650,Maharashtra,Other
2004-02-19,Onion,23,Ahmednagar,FAQ,Ahmednagar,755,200,475,Maharashtra,Other
2004-02-19,Onion,23,Kolhapur,FAQ,Kolhapur,700,200,400,Maharashtra,Other
