Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2005-01-03,Cotton,15,Nanded,FAQ,Bhokar,1700,1600,1675.0,Maharashtra,Other
2005-01-04,Cotton,15,Nanded,FAQ,Bhokar,1740,1625,1675.0,Maharashtra,Other
2005-01-08,Cotton,15,Nanded,FAQ,Bhokar,1775,1625,1625.0,Maharashtra,Other
2005-01-09,Cotton,15,Amarawati,FAQ,Varud,1721,1721,1721.0,Maharashtra,Other
2005-01-10,Cotton,15,Nanded,FAQ,Bhokar,1775,1625,1675.0,Maharashtra,Other
2005-01-11,Cotton,15,Nanded,FAQ,Bhokar,1775,1625,1675.0,Maharashtra,Other
2005-01-12,Cotton,15,Nanded,FAQ,Bhokar,1775,1625,1675.0,Maharashtra,Other
2005-01-15,Cotton,15,Amarawati,FAQ,Anajngaon,2300,1800,2250.0,Maharashtra,Other
2005-01-16,Cotton,15,Amarawati,FAQ,Anajngaon,2300,1800,2250.0,Maharashtra,Other
2005-01-18,Cotton,15,Amarawati,FAQ,Anajngaon,2300,1800,2250.0,Maharashtra,Other
2005-01-19,Cotton,15,Nanded,FAQ,Bhokar,1750,1450,1675.0,Maharashtra,Other
2005-01-24,Cotton,15,Buldhana,FAQ,Deoulgaon Raja,2050,1677,1812.0,Maharashtra,Other
2005-01-26,Cotton,15,Jalgaon,FAQ,Jamner,1700,1500,1650.0,Maharashtra,Other
2005-02-04,Cotton,15,Nanded,FAQ,Bhokar,1650,1600,1600.0,Maharashtra,Other
2005-02-07,Cotton,15,Jalgaon,FAQ,Jamner,1675,1375,1670.0,Maharashtra,Other
2005-02-11,Cotton,15,Jalgaon,FAQ,Jamner,1770,1450,1650.0,Maharashtra,Other
2005-02-11,Cotton,15,Amarawati,FAQ,Anajngaon,2350,1800,2250.0,Maharashtra,Other
2005-02-15,Cotton,15,Jalgaon,FAQ,Jamner,1850,1600,1775.0,Maharashtra,Other
2005-02-16,Cotton,15,Jalgaon,FAQ,Jamner,1850,1600,1775.0,Maharashtra,Other
2005-02-16,Cotton,15,Akola,FAQ,Telhara,2250,1925,2070.0,Maharashtra,Other
