Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2023-01-01,Onion,23,Jalgaon,FAQ,Yawal,1660,950,1170.0,Maharashtra,Red
2023-01-01,Onion,23,Ahmednagar,FAQ,Rahuri,1800,100,950.0,Maharashtra,Other
2023-01-02,Onion,23,Jalgaon,FAQ,Jalgaon,1510,400,1130.0,Maharashtra,Red
2023-01-02,Onion,23,Nashik,FAQ,Manmad,1177,300,800.0,Maharashtra,Other
2023-01-02,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1550,500,1330.0,Maharashtra,Red
2023-01-02,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1255,405,1080.0,Maharashtra,Other
2023-01-02,Onion,23,Kolhapur,FAQ,Kolhapur,2200,700,1200.0,Maharashtra,Other
2023-01-03,Onion,23,Mumbai,FAQ,Vashi New Mumbai,2300,1400,1850.0,Maharashtra,Other
2023-01-03,Onion,23,Nashik,FAQ,Nampur,1835,200,1500.0,Maharashtra,Red
2023-01-03,Onion,23,Pune,FAQ,Manchar,2000,1300,1650.0,Maharashtra,Other
2023-01-03,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1395,500,1175.0,Maharashtra,Other
2023-01-04,Onion,23,Kolhapur,FAQ,Kolhapur,2200,700,1200.0,Maharashtra,Other
2023-01-04,Onion,23,Nashik,FAQ,Yeola,1772,300,1375.0,Maharashtra,Red
2023-01-04,Onion,23,Mumbai,FAQ,Vashi New Mumbai,2200,1300,1750.0,Maharashtra,Other
2023-01-04,Onion,23,Nashik,FAQ,Manmad,1671,500,1400.0,Maharashtra,Red
2023-01-04,Onion,23,Thane,FAQ,Kalyan,1900,1300,1600.0,Maharashtra,1st Sort
2023-01-04,Onion,23,Nashik,FAQ,Umrane,1271,700,1060.0,Maharashtra,Other
2023-01-04,Onion,23,Nashik,FAQ,Umrane,1751,901,1510.0,Maharashtra,Red
2023-01-04,Onion,23,Thane,FAQ,Kalyan,1000,600,800.0,Maharashtra,2nd Sort
2023-01-05,Onion,23,Nashik,FAQ,Manmad,1700,500,1450.0,Maharashtra,Red
2023-01-05,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1575,700,1360.0,Maharashtra,Red
2023-01-06,Onion,23,Nashik,FAQ,Nandgaon,1641,300,1351.0,Maharashtra,Red
2023-01-06,Onion,23,Nashik,FAQ,Nandgaon,1481,225,825.0,Maharashtra,Other
2023-01-06,Onion,23,Nashik,FAQ,Lasalgaon,1840,800,1525.0,Maharashtra,Red
2023-01-07,Onion,23,Nashik,FAQ,Nasik,1851,1100,1501.0,Maharashtra,Pole
2023-01-07,Onion,23,Nashik,FAQ,Pimpalgaon,1425,550,1200.0,Maharashtra,Other
2023-01-07,Onion,23,Ahmednagar,FAQ,Rahuri(Vambori),1500,100,800.0,Maharashtra,Other
2023-01-07,Onion,23,Nashik,FAQ,Pimpalgaon,1915,400,1550.0,Maharashtra,Pole
2023-01-07,Onion,23,Ahmednagar,FAQ,Newasa(Ghodegaon),1700,500,1500.0,Maharashtra,Other
2023-01-07,Onion,23,Sholapur,FAQ,Pandharpur,2200,250,1450.0,Maharashtra,Red
2023-01-07,Onion,23,Pune,FAQ,Junnar(Narayangaon),1650,300,1200.0,Maharashtra,Other
2023-01-07,Onion,23,Nashik,FAQ,Lasalgaon(Vinchur),1811,800,1500.0,Maharashtra,Red
2023-01-07,Onion,23,Ahmednagar,FAQ,Rahuri(Vambori),2000,100,1300.0,Maharashtra,Red
2023-01-08,Onion,23,Pune,FAQ,Junnar(Otur),2000,800,1500.0,Maharashtra,Other
2023-01-08,Onion,23,Ahmednagar,FAQ,Rahata,2500,400,1650.0,Maharashtra,Other
2023-01-09,Onion,23,Sholapur,FAQ,Akluj,1800,200,1200.0,Maharashtra,Red
2023-01-10,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1540,650,1325.0,Maharashtra,Red
2023-01-11,Onion,23,Nashik,FAQ,Nasik,1525,400,1300.0,Maharashtra,Other
2023-01-11,Onion,23,Nashik,FAQ,Umrane,1000,551,850.0,Maharashtra,Other
2023-01-11,Onion,23,Pune,FAQ,Pune(Khadiki),1500,1300,1450.0,Maharashtra,Local
2023-01-11,Onion,23,Nashik,FAQ,Pimpalgaon,1940,500,1500.0,Maharashtra,Other
2023-01-11,Onion,23,Nashik,FAQ,Lasalgaon(Niphad),1455,820,1370.0,Maharashtra,Red
2023-01-11,Onion,23,Nashik,FAQ,Nampur,1030,100,800.0,Maharashtra,Other
2023-01-12,Onion,23,Nashik,FAQ,Lasalgaon(Niphad),1425,1095,1351.0,Maharashtra,Red
2023-01-12,Onion,23,Nashik,FAQ,Nampur,1020,100,750.0,Maharashtra,Other
2023-01-12,Onion,23,Pune,FAQ,Junnar(Otur),2000,800,1400.0,Maharashtra,Other
2023-01-12,Onion,23,Thane,FAQ,Kalyan,1700,1600,1650.0,Maharashtra,1st Sort
2023-01-12,Onion,23,Nashik,FAQ,Sinner,1450,300,1350.0,Maharashtra,Red
2023-01-12,Onion,23,Pune,FAQ,Pune(Khadiki),1600,1200,1400.0,Maharashtra,Local
2023-01-12,Onion,23,Kolhapur,FAQ,Kolhapur,2100,700,1200.0,Maharashtra,Other
2023-01-12,Onion,23,Nashik,FAQ,Nampur,1595,100,1350.0,Maharashtra,Red
2023-01-13,Onion,23,Nashik,FAQ,Nandgaon,1452,200,1150.0,Maharashtra,Red
2023-01-14,Onion,23,Nashik,FAQ,Pimpalgaon Baswant(Saykheda),1445,600,1240.0,Maharashtra,Red
2023-01-14,Onion,23,Pune,FAQ,Pune(Khadiki),1600,1200,1400.0,Maharashtra,Local
2023-01-17,Onion,23,Pune,FAQ,Pune(Moshi),1400,400,900.0,Maharashtra,Local
2023-01-17,Onion,23,Nashik,FAQ,Satana,1490,200,775.0,Maharashtra,Other
2023-01-17,Onion,23,Pune,FAQ,Junnar(Alephata),1910,900,1300.0,Maharashtra,Other
2023-01-17,Onion,23,Nashik,FAQ,Satana,1530,300,1275.0,Maharashtra,Red
2023-01-17,Onion,23,Thane,FAQ,Kalyan,1400,1100,1200.0,Maharashtra,2nd Sort
2023-01-17,Onion,23,Nashik,FAQ,Nasik,1201,250,900.0,Maharashtra,Other
2023-01-18,Onion,23,Nashik,FAQ,Lasalgaon,1551,600,1330.0,Maharashtra,Red
2023-01-18,Onion,23,Nashik,FAQ,Pimpalgaon,1790,350,1300.0,Maharashtra,Pole
2023-01-18,Onion,23,Pune,FAQ,Pune(Khadiki),1500,1200,1350.0,Maharashtra,Local
2023-01-18,Onion,23,Nashik,FAQ,Sinner,1315,300,1050.0,Maharashtra,Red
