Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2004-01-01,Rice,3,Kolhapur,FAQ,Kolhapur,3000,1400,2200,Maharashtra,Other
2004-01-08,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other
2004-01-09,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1050,2525,Maharashtra,Other
2004-01-10,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other
2004-01-11,Rice,3,Gondiya,FAQ,Arjuni,900,800,850,Maharashtra,1009 Kar
2004-01-19,Rice,3,Pune,FAQ,Pune,1700,1575,1637,Maharashtra,1009 Kar
2004-01-22,Rice,3,Bhandara,FAQ,Tumsar,1080,1040,1060,Maharashtra,HMT Sona Best
2004-01-23,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-01-24,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other
2004-01-25,Rice,3,Bhandara,FAQ,Tumsar,1070,1030,1050,Maharashtra,HMT Sona Best
2004-01-28,Rice,3,Bhandara,FAQ,Tumsar,1050,1000,1025,Maharashtra,HMT Sona Best
2004-01-28,Rice,3,Pune,FAQ,Pune,1900,1500,1700,Maharashtra,1009 Kar
2004-01-29,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-01-29,Rice,3,Pune,FAQ,Pune,1950,1600,1775,Maharashtra,1009 Kar
2004-01-31,Rice,3,Pune,FAQ,Pune,1950,1600,1775,Maharashtra,1009 Kar
2004-02-01,Rice,3,Bhandara,FAQ,Tumsar,1100,950,1050,Maharashtra,HMT Sona Best
2004-02-02,Rice,3,Bhandara,FAQ,Tumsar,1075,950,1045,Maharashtra,HMT Sona Best
2004-02-03,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,Other
2004-02-05,Rice,3,Pune,FAQ,Pune,1850,1650,1750,Maharashtra,1009 Kar
2004-02-06,Rice,3,Sangli,FAQ,Sangli,3900,850,2300,Maharashtra,1009 Kar
2004-02-06,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-02-07,Rice,3,Sholapur,FAQ,Solapur,1750,800,1200,Maharashtra,1009 Kar
2004-02-12,Rice,3,Bhandara,FAQ,Tumsar,1050,925,1005,Maharashtra,HMT Sona Best
2004-02-17,Rice,3,Sholapur,FAQ,Solapur,1750,800,1250,Maharashtra,Other
2004-02-20,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-02-23,Rice,3,Bhandara,FAQ,Tumsar,1045,900,1025,Maharashtra,HMT Sona Best
2004-02-24,Rice,3,Sangli,FAQ,Sangli,4000,700,2450,Maharashtra,1009 Kar
2004-02-25,Rice,3,Sholapur,FAQ,Solapur,1750,850,1200,Maharashtra,Other
2004-02-26,Rice,3,Pune,FAQ,Pune,1625,1525,1575,Maharashtra,1009 Kar
2004-03-04,Rice,3,Amarawati,FAQ,Achalpur,1350,870,1110,Maharashtra,1009 Kar
2004-03-04,Rice,3,Sholapur,FAQ,Solapur,1700,800,1200,Maharashtra,Other
2004-03-06,Rice,3,Sangli,FAQ,Sangli,3500,700,2100,Maharashtra,1009 Kar
2004-03-10,Rice,3,Bhandara,FAQ,Tumsar,1025,900,980,Maharashtra,HMT Sona Best
2004-03-18,Rice,3,Bhandara,FAQ,Tumsar,1012,900,990,Maharashtra,HMT Sona Best
2004-03-19,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-03-20,Rice,3,Bhandara,FAQ,Tumsar,1010,900,970,Maharashtra,HMT Sona Best
2004-03-22,Rice,3,Pune,FAQ,Pune,1675,1600,1637,Maharashtra,1009 Kar
2004-03-24,Rice,3,Pune,FAQ,Pune,1950,1600,1775,Maharashtra,1009 Kar
2004-03-27,Rice,3,Bhandara,FAQ,Tumsar,1025,925,1010,Maharashtra,HMT Sona Best
2004-03-30,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-03-31,Rice,3,Pune,FAQ,Pune,1750,1650,1700,Maharashtra,1009 Kar
2004-04-04,Rice,3,Bhandara,FAQ,Tumsar,1050,950,1020,Maharashtra,HMT Sona Best
2004-04-05,Rice,3,Sholapur,FAQ,Solapur,1750,850,1200,Maharashtra,Other
2004-04-07,Rice,3,Bhandara,FAQ,Tumsar,1050,850,1010,Maharashtra,HMT Sona Best
2004-04-07,Rice,3,Pune,FAQ,Pune,1150,1050,1100,Maharashtra,1009 Kar
2004-04-08,Rice,3,Amarawati,FAQ,Achalpur,1300,820,1060,Maharashtra,1009 Kar
2004-04-08,Rice,3,Bhandara,FAQ,Tumsar,1050,850,980,Maharashtra,HMT Sona Best
2004-04-10,Rice,3,Pune,FAQ,Pune,2000,1650,1850,Maharashtra,1009 Kar
2004-04-11,Rice,3,Bhandara,FAQ,Tumsar,640,550,625,Maharashtra,HMT Sona Best
2004-04-12,Rice,3,Bhandara,FAQ,Tumsar,1050,865,1030,Maharashtra,HMT Sona Best
2004-04-15,Rice,3,Pune,FAQ,Pune,2200,1600,1900,Maharashtra,1009 Kar
2004-04-17,Rice,3,Pune,FAQ,Pune,2200,1600,1900,Maharashtra,1009 Kar
2004-04-18,Rice,3,Bhandara,FAQ,Tumsar,1055,875,1025,Maharashtra,HMT Sona Best
2004-04-19,Rice,3,Sholapur,FAQ,Solapur,1750,850,1200,Maharashtra,Other
2004-04-19,Rice,3,Pune,FAQ,Pune,1850,1550,1700,Maharashtra,1009 Kar
2004-04-21,Rice,3,Sholapur,FAQ,Solapur,1750,850,1200,Maharashtra,Other
2004-04-22,Rice,3,Kolhapur,FAQ,Kolhapur,4000,1400,2700,Maharashtra,Other
2004-04-28,Rice,3,Sholapur,FAQ,Solapur,1750,850,1200,Maharashtra,Other
2004-04-28,Rice,3,Sangli,FAQ,Sangli,3900,900,2300,Maharashtra,1009 Kar
2004-04-29,Rice,3,Pune,FAQ,Pune,1675,1550,1612,Maharashtra,1009 Kar
2004-04-30,Rice,3,Pune,FAQ,Pune,1675,1550,1612,Maharashtra,1009 Kar
2004-05-02,Rice,3,Bhandara,FAQ,Tumsar,1050,850,950,Maharashtra,HMT Sona Best
2004-05-05,Rice,3,Bhandara,FAQ,Tumsar,1000,950,980,Maharashtra,HMT Sona Best
