Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2018-01-01,Tomato,78,Nashik,FAQ,Devala,140,50,126,Maharashtra,Local
2018-01-01,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Local
2018-01-01,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Other
2018-01-01,Tomato,78,Nashik,FAQ,Ghoti,1000,900,950,Maharashtra,Other
2018-01-01,Tomato,78,Sholapur,FAQ,Pandharpur,1100,100,700,Maharashtra,Other
2018-01-02,Tomato,78,Sholapur,FAQ,Solapur,600,100,400,Maharashtra,Other
2018-01-03,Tomato,78,Sholapur,FAQ,Pandharpur,1000,150,400,Maharashtra,Other
2018-01-03,Tomato,78,Sholapur,FAQ,Solapur,600,150,300,Maharashtra,Other
2018-01-03,Tomato,78,Sholapur,FAQ,Akluj,1800,1000,1200,Maharashtra,Other
2018-01-03,Tomato,78,Satara,FAQ,Karad,700,300,700,Maharashtra,Other
2018-01-03,Tomato,78,Nandurbar,FAQ,Navapur,1000,750,906,Maharashtra,Other
2018-01-03,Tomato,78,Ahmednagar,FAQ,Rahuri,1000,500,775,Maharashtra,Other
2018-01-03,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Other
2018-01-04,Tomato,78,Nagpur,FAQ,Kamthi,1000,400,800,Maharashtra,Local
2018-01-04,Tomato,78,Nashik,FAQ,Ghoti,1000,1000,1000,Maharashtra,Other
2018-01-04,Tomato,78,Satara,FAQ,Satara,700,600,650,Maharashtra,Other
2018-01-05,Tomato,78,Sholapur,FAQ,Pandharpur,1100,300,800,Maharashtra,Other
2018-01-05,Tomato,78,Pune,FAQ,Khed(Chakan),1200,600,800,Maharashtra,Other
2018-01-05,Tomato,78,Nagpur,FAQ,Kamthi,1000,400,800,Maharashtra,Local
2018-01-05,Tomato,78,Sholapur,FAQ,Solapur,500,100,400,Maharashtra,Other
2018-01-05,Tomato,78,Sholapur,FAQ,Mangal Wedha,600,130,300,Maharashtra,Other
2018-01-06,Tomato,78,Nandurbar,FAQ,Navapur,600,400,459,Maharashtra,Other
2018-01-06,Tomato,78,Nashik,FAQ,Pimpalgaon,675,275,425,Maharashtra,Other
2018-01-06,Tomato,78,Nashik,FAQ,Nasik,1300,500,750,Maharashtra,Other
2018-01-07,Tomato,78,Satara,FAQ,Satara,700,600,650,Maharashtra,Other
2018-01-07,Tomato,78,Satara,FAQ,Vai,700,500,650,Maharashtra,Local
2018-01-07,Tomato,78,Pune,FAQ,Junnar(Narayangaon),1000,500,950,Maharashtra,Local
2018-01-07,Tomato,78,Pune,FAQ,Khed(Chakan),1100,500,900,Maharashtra,Other
2018-01-08,Tomato,78,Thane,FAQ,Murbad,2000,1000,1500,Maharashtra,Other
2018-01-08,Tomato,78,Satara,FAQ,Vai,800,500,620,Maharashtra,Local
2018-01-08,Tomato,78,Pune,FAQ,Junnar(Narayangaon),1000,500,850,Maharashtra,Local
2018-01-09,Tomato,78,Nagpur,FAQ,Nagpur,1000,800,950,Maharashtra,Other
2018-01-10,Tomato,78,Satara,FAQ,Vai,800,500,540,Maharashtra,Local
2018-01-10,Tomato,78,Sholapur,FAQ,Solapur,500,100,300,Maharashtra,Other
2018-01-10,Tomato,78,Sholapur,FAQ,Mangal Wedha,500,200,300,Maharashtra,Other
2018-01-10,Tomato,78,Satara,FAQ,Satara,800,600,700,Maharashtra,Other
2018-01-10,Tomato,78,Nagpur,FAQ,Nagpur,1000,800,950,Maharashtra,Other
2018-01-10,Tomato,78,Thane,FAQ,Murbad,2200,1400,1800,Maharashtra,Other
2018-01-10,Tomato,78,Sholapur,FAQ,Akluj,1500,900,1200,Maharashtra,Other
2018-01-10,Tomato,78,Nashik,FAQ,Ghoti,1000,800,900,Maharashtra,Other
2018-01-10,Tomato,78,Ahmednagar,FAQ,Rahuri,700,300,525,Maharashtra,Other
2018-01-11,Tomato,78,Satara,FAQ,Phaltan,900,400,700,Maharashtra,Other
2018-01-11,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Local
2018-01-11,Tomato,78,Pune,FAQ,Junnar(Narayangaon),750,350,700,Maharashtra,Local
2018-01-11,Tomato,78,Nagpur,FAQ,Nagpur,1000,800,950,Maharashtra,Other
2018-01-11,Tomato,78,Thane,FAQ,Murbad,1700,1100,1600,Maharashtra,Other
2018-01-11,Tomato,78,Ahmednagar,FAQ,Rahuri,1000,200,725,Maharashtra,Other
2018-01-12,Tomato,78,Pune,FAQ,Khed(Chakan),800,400,600,Maharashtra,Other
2018-01-12,Tomato,78,Kolhapur,FAQ,Kolhapur,600,300,450,Maharashtra,Other
2018-01-12,Tomato,78,Nashik,FAQ,Pimpalgaon,755,250,525,Maharashtra,Other
2018-01-13,Tomato,78,Nashik,FAQ,Nasik,900,450,600,Maharashtra,Other
2018-01-13,Tomato,78,Sholapur,FAQ,Akluj,1400,800,1200,Maharashtra,Other
2018-01-13,Tomato,78,Pune,FAQ,Junnar(Narayangaon),750,350,700,Maharashtra,Local
2018-01-13,Tomato,78,Nashik,FAQ,Pimpalgaon,675,250,425,Maharashtra,Other
2018-01-13,Tomato,78,Jalgaon,FAQ,Jalgaon,700,400,500,Maharashtra,Other
2018-01-13,Tomato,78,Nandurbar,FAQ,Navapur,750,500,656,Maharashtra,Other
2018-01-14,Tomato,78,Nashik,FAQ,Nasik,700,250,500,Maharashtra,Other
2018-01-14,Tomato,78,Ahmednagar,FAQ,Ahmednagar,600,300,500,Maharashtra,Other
2018-01-14,Tomato,78,Satara,FAQ,Karad,800,400,800,Maharashtra,Other
2018-01-15,Tomato,78,Nagpur,FAQ,Nagpur,1000,700,925,Maharashtra,Local
2018-01-16,Tomato,78,Satara,FAQ,Karad,600,300,600,Maharashtra,Other
2018-01-16,Tomato,78,Jalgaon,FAQ,Jalgaon,600,350,400,Maharashtra,Other
2018-01-16,Tomato,78,Ahmednagar,FAQ,Ahmednagar,800,300,600,Maharashtra,Other
2018-01-16,Tomato,78,Satara,FAQ,Vai,800,500,740,Maharashtra,Local
2018-01-16,Tomato,78,Sholapur,FAQ,Solapur,500,100,250,Maharashtra,Other
2018-01-17,Tomato,78,Pune,FAQ,Junnar(Narayangaon),600,250,500,Maharashtra,Local
2018-01-17,Tomato,78,Nagpur,FAQ,Nagpur,600,500,575,Maharashtra,Local
2018-01-17,Tomato,78,Kolhapur,FAQ,Kolhapur,400,200,300,Maharashtra,Other
2018-01-18,Tomato,78,Nashik,FAQ,Pimpalgaon,675,250,425,Maharashtra,Other
2018-01-18,Tomato,78,Ahmednagar,FAQ,Rahuri,700,100,495,Maharashtra,Other
2018-01-18,Tomato,78,Ahmednagar,FAQ,Rahata,500,300,400,Maharashtra,Other
2018-01-18,Tomato,78,Satara,FAQ,Vai,800,500,740,Maharashtra,Local
2018-01-18,Tomato,78,Satara,FAQ,Karad,600,500,600,Maharashtra,Other
2018-01-19,Tomato,78,Jalgaon,FAQ,Jalgaon,600,300,400,Maharashtra,Other
2018-01-19,Tomato,78,Satara,FAQ,Phaltan,5700,400,500,Maharashtra,Other
2018-01-19,Tomato,78,Sholapur,FAQ,Mangal Wedha,500,200,400,Maharashtra,Other
2018-01-20,Tomato,78,Nagpur,FAQ,Kamthi,600,200,500,Maharashtra,Local
2018-01-20,Tomato,78,Nagpur,FAQ,Nagpur,1000,600,900,Maharashtra,Other
2018-01-20,Tomato,78,Nandurbar,FAQ,Navapur,600,400,447,Maharashtra,Other
2018-01-20,Tomato,78,Sholapur,FAQ,Mangal Wedha,600,180,400,Maharashtra,Other
2018-01-20,Tomato,78,Satara,FAQ,Satara,700,500,600,Maharashtra,Other
2018-01-21,Tomato,78,Nandurbar,FAQ,Navapur,1000,400,546,Maharashtra,Other
2018-01-22,Tomato,78,Ahmednagar,FAQ,Rahuri,600,100,400,Maharashtra,Other
2018-01-22,Tomato,78,Sholapur,FAQ,Solapur,400,100,200,Maharashtra,Other
2018-01-22,Tomato,78,Kolhapur,FAQ,Kolhapur,500,200,350,Maharashtra,Other
2018-01-23,Tomato,78,Jalgaon,FAQ,Jalgaon,650,300,400,Maharashtra,Other
2018-01-23,Tomato,78,Nagpur,FAQ,Ramtek,600,400,500,Maharashtra,Other
2018-01-23,Tomato,78,Satara,FAQ,Patan,700,500,600,Maharashtra,Other
2018-01-23,Tomato,78,Nagpur,FAQ,Nagpur,900,600,825,Maharashtra,Other
2018-01-23,Tomato,78,Satara,FAQ,Satara,700,500,600,Maharashtra,Other
2018-01-23,Tomato,78,Nashik,FAQ,Nasik,700,300,500,Maharashtra,Other
2018-01-24,Tomato,78,Nashik,FAQ,Ghoti,1000,900,950,Maharashtra,Other
2018-01-24,Tomato,78,Satara,FAQ,Patan,700,500,600,Maharashtra,Other
2018-01-24,Tomato,78,Pune,FAQ,Junnar(Narayangaon),750,350,650,Maharashtra,Local
2018-01-24,Tomato,78,Nagpur,FAQ,Nagpur,900,600,825,Maharashtra,Other
2018-01-24,Tomato,78,Satara,FAQ,Phaltan,800,400,500,Maharashtra,Other
2018-01-24,Tomato,78,Sholapur,FAQ,Akluj,1000,600,800,Maharashtra,Other
2018-01-25,Tomato,78,Sholapur,FAQ,Akluj,900,500,800,Maharashtra,Other
2018-01-25,Tomato,78,Kolhapur,FAQ,Kolhapur,600,300,450,Maharashtra,Other
2018-01-25,Tomato,78,Sholapur,FAQ,Solapur,400,100,250,Maharashtra,Other
2018-01-25,Tomato,78,Nagpur,FAQ,Kamthi,700,400,600,Maharashtra,Local
2018-01-25,Tomato,78,Ahmednagar,FAQ,Rahuri,600,200,495,Maharashtra,Other
2018-01-25,Tomato,78,Nagpur,FAQ,Ramtek,600,400,500,Maharashtra,Other
2018-01-26,Tomato,78,Pune,FAQ,Khed(Chakan),500,300,400,Maharashtra,Other
2018-01-26,Tomato,78,Sholapur,FAQ,Mangal Wedha,600,200,400,Maharashtra,Other
2018-01-27,Tomato,78,Ahmednagar,FAQ,Rahuri,500,400,450,Maharashtra,Other
2018-01-28,Tomato,78,Pune,FAQ,Khed(Chakan),700,300,500,Maharashtra,Other
2018-01-29,Tomato,78,Nagpur,FAQ,Kamthi,800,500,700,Maharashtra,Local
2018-01-30,Tomato,78,Ahmednagar,FAQ,Ahmednagar,700,400,500,Maharashtra,Other
2018-01-30,Tomato,78,Pune,FAQ,Junnar(Narayangaon),1400,700,1200,Maharashtra,Local
2018-01-30,Tomato,78,Nagpur,FAQ,Nagpur,700,500,650,Maharashtra,Local
2018-01-31,Tomato,78,Sholapur,FAQ,Mangal Wedha,500,150,300,Maharashtra,Other
2018-02-01,Tomato,78,Sholapur,FAQ,Pandharpur,300,200,250,Maharashtra,Other
2018-02-01,Tomato,78,Sholapur,FAQ,Solapur,400,100,200,Maharashtra,Other
2018-02-01,Tomato,78,Satara,FAQ,Vai,800,500,750,Maharashtra,Local
2018-02-01,Tomato,78,Pune,FAQ,Khed(Chakan),700,300,500,Maharashtra,Other
2018-02-03,Tomato,78,Sholapur,FAQ,Solapur,400,100,200,Maharashtra,Other
2018-02-03,Tomato,78,Nagpur,FAQ,Ramtek,500,400,450,Maharashtra,Other
2018-02-03,Tomato,78,Satara,FAQ,Patan,800,700,750,Maharashtra,Other
2018-02-03,Tomato,78,Jalgaon,FAQ,Jalgaon,500,300,400,Maharashtra,Other
2018-02-04,Tomato,78,Satara,FAQ,Phaltan,750,400,500,Maharashtra,Other
2018-02-04,Tomato,78,Nagpur,FAQ,Ramtek,500,400,450,Maharashtra,Other
2018-02-05,Tomato,78,Nashik,FAQ,Nasik,750,300,400,Maharashtra,Other
2018-02-05,Tomato,78,Pune,FAQ,Junnar(Narayangaon),1400,800,1100,Maharashtra,Local
2018-02-06,Tomato,78,Nandurbar,FAQ,Navapur,600,400,477,Maharashtra,Other
2018-02-06,Tomato,78,Nagpur,FAQ,Nagpur,700,500,650,Maharashtra,Local
2018-02-06,Tomato,78,Satara,FAQ,Satara,700,600,650,Maharashtra,Other
2018-02-06,Tomato,78,Nashik,FAQ,Pimpalgaon,650,150,425,Maharashtra,Other
2018-02-06,Tomato,78,Satara,FAQ,Karad,600,300,600,Maharashtra,Other
2018-02-06,Tomato,78,Satara,FAQ,Phaltan,700,400,500,Maharashtra,Other
2018-02-07,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Local
2018-02-07,Tomato,78,Satara,FAQ,Phaltan,700,400,500,Maharashtra,Other
2018-02-07,Tomato,78,Kolhapur,FAQ,Kolhapur,1100,400,750,Maharashtra,Other
2018-02-07,Tomato,78,Pune,FAQ,Khed(Chakan),700,300,500,Maharashtra,Other
2018-02-08,Tomato,78,Satara,FAQ,Karad,500,300,500,Maharashtra,Other
2018-02-08,Tomato,78,Ahmednagar,FAQ,Rahuri,900,100,675,Maharashtra,Other
2018-02-08,Tomato,78,Nashik,FAQ,Pimpalgaon,450,200,305,Maharashtra,Other
2018-02-08,Tomato,78,Satara,FAQ,Satara,400,300,350,Maharashtra,Other
2018-02-08,Tomato,78,Ahmednagar,FAQ,Rahata,500,250,400,Maharashtra,Other
2018-02-08,Tomato,78,Satara,FAQ,Phaltan,700,400,500,Maharashtra,Other
2018-02-09,Tomato,78,Nashik,FAQ,Ghoti,1800,1085,1442,Maharashtra,Other
2018-02-09,Tomato,78,Satara,FAQ,Patan,650,550,600,Maharashtra,Other
2018-02-10,Tomato,78,Pune,FAQ,Junnar(Narayangaon),450,250,400,Maharashtra,Local
2018-02-10,Tomato,78,Satara,FAQ,Satara,700,200,450,Maharashtra,Other
2018-02-10,Tomato,78,Satara,FAQ,Phaltan,700,400,500,Maharashtra,Other
2018-02-10,Tomato,78,Nagpur,FAQ,Kamthi,800,500,700,Maharashtra,Local
2018-02-11,Tomato,78,Nagpur,FAQ,Kamthi,1100,800,1000,Maharashtra,Local
2018-02-12,Tomato,78,Jalgaon,FAQ,Jalgaon,400,200,300,Maharashtra,Other
2018-02-12,Tomato,78,Sholapur,FAQ,Pandharpur,400,200,300,Maharashtra,Other
2018-02-12,Tomato,78,Nagpur,FAQ,Nagpur,800,600,750,Maharashtra,Other
2018-02-13,Tomato,78,Nagpur,FAQ,Ramtek,400,200,300,Maharashtra,Other
2018-02-14,Tomato,78,Satara,FAQ,Karad,300,200,300,Maharashtra,Other
2018-02-14,Tomato,78,Satara,FAQ,Satara,600,400,500,Maharashtra,Other
2018-02-14,Tomato,78,Nandurbar,FAQ,Navapur,750,500,656,Maharashtra,Other
2018-02-14,Tomato,78,Satara,FAQ,Patan,1500,1000,1250,Maharashtra,Other
2018-02-14,Tomato,78,Nagpur,FAQ,Ramtek,400,200,300,Maharashtra,Other
2018-02-14,Tomato,78,Nagpur,FAQ,Nagpur,700,500,650,Maharashtra,Other
