Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2023-01-01,Wheat,1,Chattrapati Sambhajinagar,FAQ,Paithan,3500,2500,3076,Maharashtra,Bansi
2023-01-01,Wheat,1,Ahmednagar,FAQ,Shevgaon,3000,2300,3000,Maharashtra,Maharashtra 2189
2023-01-02,Wheat,1,Dhule,FAQ,Shirpur,3119,2600,2800,Maharashtra,Other
2023-01-02,Wheat,1,Jalgaon,FAQ,Chopada,2125,2062,2125,Maharashtra,Other
2023-01-04,Wheat,1,Chattrapati Sambhajinagar,FAQ,Vaijpur,3020,2700,2750,Maharashtra,Other
2023-01-11,Wheat,1,Hingoli,FAQ,Akhadabalapur,2200,2000,2100,Maharashtra,Maharashtra 2189
2023-01-11,Wheat,1,Chattrapati Sambhajinagar,FAQ,Sillod,2900,2800,2900,Maharashtra,Other
2023-01-12,Wheat,1,Chattrapati Sambhajinagar,FAQ,Lasur Station,3175,2650,2900,Maharashtra,Other
2023-01-14,Wheat,1,Ahmednagar,FAQ,Jamkhed,3000,2200,2600,Maharashtra,Maharashtra 2189
2023-01-15,Wheat,1,Chattrapati Sambhajinagar,FAQ,Paithan,2631,2631,2631,Maharashtra,Bansi
2023-01-16,Wheat,1,Ahmednagar,FAQ,Shevgaon,2600,2600,2600,Maharashtra,Maharashtra 2189
2023-01-17,Wheat,1,Ahmednagar,FAQ,Rahuri(Vambori),3200,2651,2925,Maharashtra,Other
2023-01-17,Wheat,1,Ahmednagar,FAQ,Kopargaon,2951,2740,2899,Maharashtra,Other
2023-01-17,Wheat,1,Ahmednagar,FAQ,Shevgaon,2400,2400,2400,Maharashtra,Maharashtra 2189
2023-01-20,Wheat,1,Jalgaon,FAQ,Pachora,3000,2600,2800,Maharashtra,Other
2023-01-20,Wheat,1,Chattrapati Sambhajinagar,FAQ,Kannad,2900,2500,2700,Maharashtra,Other
2023-01-21,Wheat,1,Chattrapati Sambhajinagar,FAQ,Lasur Station,3060,2700,2900,Maharashtra,Other
2023-01-21,Wheat,1,Ahmednagar,FAQ,Kopargaon,2951,2500,2800,Maharashtra,Other
2023-01-23,Wheat,1,Jalgaon,FAQ,Pachora,3073,2725,2821,Maharashtra,Other
2023-01-23,Wheat,1,Chattrapati Sambhajinagar,FAQ,Sillod,2900,2700,2800,Maharashtra,Other
2023-01-23,Wheat,1,Dharashiv(Usmanabad),FAQ,Kalamb (Dharashiv),3411,2400,3200,Maharashtra,Maharashtra 2189
2023-01-24,Wheat,1,Jalgaon,FAQ,Parola,2948,2500,2948,Maharashtra,Kalyan
2023-01-24,Wheat,1,Dharashiv(Usmanabad),FAQ,Kalamb (Dharashiv),2701,2400,2600,Maharashtra,Maharashtra 2189
2023-01-25,Wheat,1,Ahmednagar,FAQ,Rahuri,2800,2200,2500,Maharashtra,Other
2023-01-25,Wheat,1,Ahmednagar,FAQ,Pathardi,2500,2000,2300,Maharashtra,Maharashtra 2189
2023-01-25,Wheat,1,Ahmednagar,FAQ,Ahmednagar,3050,2400,2725,Maharashtra,Other
2023-01-25,Wheat,1,Chattrapati Sambhajinagar,FAQ,Paithan,3300,2600,2881,Maharashtra,Bansi
2023-01-27,Wheat,1,Dharashiv(Usmanabad),FAQ,Kalamb (Dharashiv),3272,2200,2651,Maharashtra,Maharashtra 2189
2023-01-28,Wheat,1,Ahmednagar,FAQ,Rahata,3110,3110,3110,Maharashtra,Other
2023-01-28,Wheat,1,Ahmednagar,FAQ,Ahmednagar,2900,2600,2750,Maharashtra,Other
2023-01-28,Wheat,1,Ahmednagar,FAQ,Pathardi,2600,2000,2300,Maharashtra,Maharashtra 2189
2023-01-28,Wheat,1,Jalgaon,FAQ,Pachora,2960,2580,2711,Maharashtra,Other
2023-01-30,Wheat,1,Ahmednagar,FAQ,Rahata,2801,2500,2650,Maharashtra,Other
2023-01-30,Wheat,1,Dharashiv(Usmanabad),FAQ,Kalamb (Dharashiv),3500,2300,2700,Maharashtra,Maharashtra 2189
2023-01-30,Wheat,1,Ahmednagar,FAQ,Sangamner,2800,2600,2700,Maharashtra,Other
2023-01-30,Wheat,1,Ahmednagar,FAQ,Kopargaon,3130,2466,2828,Maharashtra,Other
2023-01-31,Wheat,1,Ahmednagar,FAQ,Rahuri(Vambori),1800,1800,1800,Maharashtra,Other
