Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2006-07-04,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other
2006-07-05,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other
2006-07-06,Sugarcane,150,Thane,FAQ,Ulhasnagar,275,200,225,Maharashtra,Other
2006-12-05,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-06,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-07,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-08,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-11,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-12,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-13,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-14,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-18,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-19,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-20,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-21,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-22,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-26,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-27,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-28,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-29,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2006-12-30,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-02,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-03,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-04,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-05,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-06,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-08,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-09,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-10,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-12,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-15,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-16,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-17,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-18,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-19,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-20,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-22,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-23,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2007-01-24,Sugarcane,150,Thane,FAQ,Ulhasnagar,325,250,300,Maharashtra,Other
2009-01-12,Sugarcane,150,Thane,FAQ,Ulhasnagar,2000,1800,1900,Maharashtra,Other
2009-01-13,Sugarcane,150,Thane,FAQ,Ulhasnagar,2000,1800,1900,Maharashtra,Other
2009-01-14,Sugarcane,150,Thane,FAQ,Ulhasnagar,2000,1800,1900,Maharashtra,Other
