Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2006-01-01,Tomato,78,Thane,FAQ,Vasai,700,600,666,Maharashtra,Other
2006-01-03,Tomato,78,Satara,FAQ,Karad,300,250,260,Maharashtra,Other
2006-01-03,Tomato,78,Thane,FAQ,Vasai,700,625,650,Maharashtra,Other
2006-01-04,Tomato,78,Chattrapati Sambhajinagar,FAQ,Chattrapati Sambhajinagar,300,200,250,Maharashtra,Other
2006-01-09,Tomato,78,Thane,FAQ,Vasai,725,600,700,Maharashtra,Other
2006-01-09,Tomato,78,Nashik,FAQ,Ghoti,800,600,700,Maharashtra,Other
2006-01-10,Tomato,78,Kolhapur,FAQ,Kolhapur,330,200,250,Maharashtra,Other
2006-01-12,Tomato,78,Thane,FAQ,Kalyan,300,200,250,Maharashtra,Local
2006-01-12,Tomato,78,Nashik,FAQ,Ghoti,1175,500,838,Maharashtra,Other
2006-01-12,Tomato,78,Satara,FAQ,Karad,250,200,225,Maharashtra,Other
2006-01-13,Tomato,78,Thane,FAQ,Kalyan,300,200,250,Maharashtra,Local
2006-01-14,Tomato,78,Thane,FAQ,Vasai,500,400,450,Maharashtra,Other
2006-01-17,Tomato,78,Satara,FAQ,Karad,250,200,200,Maharashtra,Other
2006-01-17,Tomato,78,Nashik,FAQ,Ghoti,933,500,717,Maharashtra,Other
2006-01-17,Tomato,78,Thane,FAQ,Vasai,400,300,350,Maharashtra,Other
2006-01-18,Tomato,78,Thane,FAQ,Kalyan,300,200,250,Maharashtra,Local
2006-01-19,Tomato,78,Thane,FAQ,Vasai,500,400,440,Maharashtra,Other
2006-01-21,Tomato,78,Thane,FAQ,Vasai,475,400,440,Maharashtra,Other
2006-01-21,Tomato,78,Nashik,FAQ,Ghoti,800,400,600,Maharashtra,Other
2006-01-22,Tomato,78,Thane,FAQ,Kalyan,300,200,250,Maharashtra,Local
2006-01-23,Tomato,78,Satara,FAQ,Karad,250,200,200,Maharashtra,Other
2006-01-24,Tomato,78,Raigad,FAQ,Panvel,500,300,400,Maharashtra,Other
2006-01-24,Tomato,78,Nashik,FAQ,Ghoti,800,500,650,Maharashtra,Other
2006-01-27,Tomato,78,Thane,FAQ,Kalyan,300,200,250,Maharashtra,Local
2006-01-28,Tomato,78,Nashik,FAQ,Ghoti,1000,550,775,Maharashtra,Other
2006-01-30,Tomato,78,Satara,FAQ,Patan,400,300,350,Maharashtra,Other
2006-01-30,Tomato,78,Satara,FAQ,Karad,250,200,220,Maharashtra,Other
2006-01-31,Tomato,78,Nashik,FAQ,Ghoti,700,400,550,Maharashtra,Other
2006-02-01,Tomato,78,Nashik,FAQ,Ghoti,650,400,525,Maharashtra,Other
2006-02-01,Tomato,78,Satara,FAQ,Karad,350,250,300,Maharashtra,Other
2006-02-01,Tomato,78,Satara,FAQ,Patan,300,200,250,Maharashtra,Other
2006-02-02,Tomato,78,Satara,FAQ,Satara,400,200,300,Maharashtra,Other
2006-02-04,Tomato,78,Nashik,FAQ,Ghoti,833,450,642,Maharashtra,Other
2006-02-04,Tomato,78,Satara,FAQ,Vai,300,200,250,Maharashtra,Other
2006-02-05,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-02-05,Tomato,78,Satara,FAQ,Satara,300,200,250,Maharashtra,Other
2006-02-08,Tomato,78,Satara,FAQ,Vai,300,200,250,Maharashtra,Other
2006-02-09,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-02-11,Tomato,78,Nashik,FAQ,Ghoti,800,666,733,Maharashtra,Other
2006-02-13,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-02-14,Tomato,78,Thane,FAQ,Vasai,600,451,500,Maharashtra,Other
2006-02-15,Tomato,78,Pune,FAQ,Pune,300,200,250,Maharashtra,Other
2006-02-16,Tomato,78,Raigad,FAQ,Panvel,400,300,350,Maharashtra,Other
2006-02-17,Tomato,78,Pune,FAQ,Pune,350,200,275,Maharashtra,Other
2006-02-18,Tomato,78,Thane,FAQ,Vasai,600,400,500,Maharashtra,Other
2006-02-23,Tomato,78,Satara,FAQ,Karad,300,200,250,Maharashtra,Other
2006-02-25,Tomato,78,Thane,FAQ,Vasai,600,450,500,Maharashtra,Other
2006-02-25,Tomato,78,Pune,FAQ,Pune(Pimpri),300,200,250,Maharashtra,Other
2006-03-01,Tomato,78,Parbhani,FAQ,Parbhani,400,200,300,Maharashtra,Local
2006-03-03,Tomato,78,Nashik,FAQ,Ghoti,700,571,636,Maharashtra,Other
2006-03-03,Tomato,78,Thane,FAQ,Vasai,500,400,440,Maharashtra,Other
2006-03-04,Tomato,78,Thane,FAQ,Vasai,700,450,500,Maharashtra,Other
2006-03-08,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-03-12,Tomato,78,Thane,FAQ,Vasai,600,400,550,Maharashtra,Other
2006-03-12,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-03-14,Tomato,78,Nagpur,FAQ,Kalmeshwar,300,200,250,Maharashtra,Other
2006-03-16,Tomato,78,Parbhani,FAQ,Parbhani,450,250,350,Maharashtra,Local
2006-03-20,Tomato,78,Nashik,FAQ,Nasik,450,200,325,Maharashtra,Other
2006-03-21,Tomato,78,Nashik,FAQ,Nasik,1000,250,400,Maharashtra,Other
2006-03-22,Tomato,78,Satara,FAQ,Vai,250,200,225,Maharashtra,Other
2006-03-23,Tomato,78,Pune,FAQ,Pune(Pimpri),400,200,300,Maharashtra,Other
2006-03-24,Tomato,78,Thane,FAQ,Vasai,500,450,460,Maharashtra,Other
2006-03-25,Tomato,78,Kolhapur,FAQ,Kolhapur,550,200,400,Maharashtra,Other
2006-03-25,Tomato,78,Nashik,FAQ,Ghoti,800,770,785,Maharashtra,Other
2006-03-25,Tomato,78,Pune,FAQ,Pune(Pimpri),500,200,350,Maharashtra,Other
2006-03-25,Tomato,78,Satara,FAQ,Vai,300,200,250,Maharashtra,Other
2006-03-27,Tomato,78,Pune,FAQ,Pune,500,200,350,Maharashtra,Other
2006-03-28,Tomato,78,Raigad,FAQ,Panvel,400,300,350,Maharashtra,Other
2006-03-28,Tomato,78,Satara,FAQ,Vai,300,200,250,Maharashtra,Other
2006-03-29,Tomato,78,Nashik,FAQ,Ghoti,800,750,775,Maharashtra,Other
2006-03-31,Tomato,78,Pune,FAQ,Pune(Khadiki),350,200,275,Maharashtra,Other
2006-04-02,Tomato,78,Pune,FAQ,Pune(Pimpri),400,200,300,Maharashtra,Other
2006-04-03,Tomato,78,Thane,FAQ,Kalyan,350,250,300,Maharashtra,Local
2006-04-04,Tomato,78,Pune,FAQ,Pune(Pimpri),400,200,300,Maharashtra,Other
2006-04-05,Tomato,78,Pune,FAQ,Pune,400,200,300,Maharashtra,Other
2006-04-08,Tomato,78,Pune,FAQ,Pune(Khadiki),500,200,350,Maharashtra,Other
2006-04-09,Tomato,78,Pune,FAQ,Pune(Pimpri),400,200,300,Maharashtra,Other
2006-04-10,Tomato,78,Kolhapur,FAQ,Kolhapur(Malkapur),620,360,500,Maharashtra,Other
2006-04-10,Tomato,78,Pune,FAQ,Pune(Khadiki),600,200,400,Maharashtra,Other
2006-04-11,Tomato,78,Thane,FAQ,Kalyan,500,400,450,Maharashtra,Local
2006-04-11,Tomato,78,Pune,FAQ,Pune(Pimpri),600,250,400,Maharashtra,Other
2006-04-11,Tomato,78,Pune,FAQ,Pune(Khadiki),400,200,300,Maharashtra,Other
2006-04-11,Tomato,78,Thane,FAQ,Vasai,600,400,500,Maharashtra,Other
2006-04-12,Tomato,78,Dharashiv(Usmanabad),FAQ,Dharashiv,400,200,300,Maharashtra,Other
2006-04-12,Tomato,78,Thane,FAQ,Kalyan,500,400,450,Maharashtra,Local
2006-04-12,Tomato,78,Pune,FAQ,Pune(Khadiki),550,250,400,Maharashtra,Other
2006-04-12,Tomato,78,Pune,FAQ,Pune,600,200,400,Maharashtra,Other
2006-04-13,Tomato,78,Thane,FAQ,Vasai,500,400,480,Maharashtra,Other
2006-04-14,Tomato,78,Pune,FAQ,Pune(Khadiki),450,200,325,Maharashtra,Other
2006-04-15,Tomato,78,Raigad,FAQ,Panvel,600,400,500,Maharashtra,Other
2006-04-17,Tomato,78,Thane,FAQ,Vasai,500,350,400,Maharashtra,Other
2006-04-17,Tomato,78,Satara,FAQ,Satara,400,200,300,Maharashtra,Other
2006-04-18,Tomato,78,Raigad,FAQ,Panvel,600,400,500,Maharashtra,Other
2006-04-19,Tomato,78,Sholapur,FAQ,Pandharpur,600,200,400,Maharashtra,Other
2006-04-19,Tomato,78,Thane,FAQ,Vasai,500,450,475,Maharashtra,Other
2006-04-19,Tomato,78,Raigad,FAQ,Panvel,700,500,600,Maharashtra,Other
2006-04-19,Tomato,78,Satara,FAQ,Satara,400,200,300,Maharashtra,Other
2006-04-20,Tomato,78,Nagpur,FAQ,Kalmeshwar,350,250,300,Maharashtra,Other
2006-04-20,Tomato,78,Satara,FAQ,Satara,400,200,300,Maharashtra,Other
