Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2007-01-01,Wheat,1,Pune,FAQ,Pune,2200,1325,1762,Maharashtra,Other
2007-01-02,Wheat,1,Jalana,FAQ,Ambad (Vadigodri),1581,1141,1300,Maharashtra,147 Average
2007-01-02,Wheat,1,Kolhapur,FAQ,Kolhapur(Laxmipuri),1900,1100,1400,Maharashtra,Other
2007-01-02,Wheat,1,Ahmednagar,FAQ,Rahuri(Vambori),1321,1001,1161,Maharashtra,Other
2007-01-02,Wheat,1,Jalgaon,FAQ,Chopada,1282,1226,1271,Maharashtra,Other
2007-01-02,Wheat,1,Nashik,FAQ,Malegaon,1400,1131,1222,Maharashtra,Other
2007-01-02,Wheat,1,Chattrapati Sambhajinagar,FAQ,Kannad,1400,1280,1390,Maharashtra,Other
2007-01-02,Wheat,1,Sholapur,FAQ,Solapur,1785,1110,1480,Maharashtra,Sharbati
2007-01-03,Wheat,1,Chattrapati Sambhajinagar,FAQ,Kannad,1400,1290,1380,Maharashtra,Other
2007-01-03,Wheat,1,Jalgaon,FAQ,Parola,1452,1150,1172,Maharashtra,Other
2007-01-03,Wheat,1,Nashik,FAQ,Yeola,1300,1056,1091,Maharashtra,Maharashtra 2189
2007-01-03,Wheat,1,Beed,FAQ,Parali Vaijyanath,1400,1400,1400,Maharashtra,Other
2007-01-03,Wheat,1,Chattrapati Sambhajinagar,FAQ,Gangapur,1501,1100,1280,Maharashtra,Other
2007-01-03,Wheat,1,Amarawati,FAQ,Morshi,1451,1100,1254,Maharashtra,Other
2007-01-03,Wheat,1,Hingoli,FAQ,Hingoli,1424,1150,1287,Maharashtra,Other
2007-01-03,Wheat,1,Ahmednagar,FAQ,Pathardi,1315,1000,1200,Maharashtra,Other
2007-01-03,Wheat,1,Jalgaon,FAQ,Chalisgaon,1300,1150,1250,Maharashtra,Other
2007-01-03,Wheat,1,Hingoli,FAQ,Sengoan,1110,1000,1060,Maharashtra,Other
2007-01-03,Wheat,1,Buldhana,FAQ,Chikali,1420,1140,1280,Maharashtra,Other
2007-01-03,Wheat,1,Ahmednagar,FAQ,Rahuri(Vambori),1275,1100,1187,Maharashtra,Other
2007-01-03,Wheat,1,Sholapur,FAQ,Pandharpur,1575,1150,1300,Maharashtra,Other
2007-01-03,Wheat,1,Dhule,FAQ,Dhule,1470,950,1350,Maharashtra,Other
2007-01-03,Wheat,1,Nashik,FAQ,Malegaon,1281,1065,1200,Maharashtra,Other
2007-01-04,Wheat,1,Dhule,FAQ,Shirpur,1450,951,1245,Maharashtra,Other
2007-01-04,Wheat,1,Nashik,FAQ,Yeola,1111,1090,1111,Maharashtra,Maharashtra 2189
2007-01-04,Wheat,1,Amarawati,FAQ,Achalpur,1450,1050,1250,Maharashtra,Other
2007-01-04,Wheat,1,Chattrapati Sambhajinagar,FAQ,Kannad,1450,1200,1350,Maharashtra,Other
2007-01-04,Wheat,1,Bhandara,FAQ,Tumsar,1161,900,1030,Maharashtra,Other
2007-01-04,Wheat,1,Jalana,FAQ,Jalana,1700,1700,1700,Maharashtra,Other
2007-01-04,Wheat,1,Jalgaon,FAQ,Chopada,1253,1000,1221,Maharashtra,Other
2007-01-04,Wheat,1,Beed,FAQ,Gevrai,1520,1050,1340,Maharashtra,Other
2007-01-04,Wheat,1,Jalgaon,FAQ,Dharangaon,1230,1125,1195,Maharashtra,Other
2007-01-04,Wheat,1,Buldhana,FAQ,Khamgaon,1210,1000,1105,Maharashtra,Other
2007-01-04,Wheat,1,Sholapur,FAQ,Barshi,1641,1100,1100,Maharashtra,Other
2007-01-05,Wheat,1,Jalana,FAQ,Jalana,1450,1050,1275,Maharashtra,Other
2007-01-05,Wheat,1,Dharashiv(Usmanabad),FAQ,Kalamb (Dharashiv),1440,1025,1191,Maharashtra,Maharashtra 2189
2007-01-05,Wheat,1,Ahmednagar,FAQ,Rahuri,1290,1150,1205,Maharashtra,Other
